f,mag,re,im
156,40315.06887,-7376.617719,39634.45836
157,47794.39512,-10662.04158,46589.96753
158,62372.81802,-14947.16363,60555.35259
159,85494.31631,-20113.42645,83094.69416
160,118607.4565,-25820.5852,115762.8011
161,162795.8357,-31580.79064,159703.2804
162,218694.8731,-36654.86357,215601.1792
163,286337.816,-40058.14203,283521.9394
164,365043.5214,-40630.03787,362775.3748
165,453435.676,-37125.62014,451913.2667
166,549411.4187,-27879.78944,548703.5851
167,649831.9632,-11282.01017,649734.0199
168,751060.7956,15094.02846,750909.1083
169,848126.6575,54144.72881,846396.5829
170,934909.8027,110990.3034,928298.1696
171,1002248.761,195367.6827,983022.9125
172,1035005.761,332140.4014,980265.1066
173,1017118.156,615991.8706,809372.2
174,2744839.338,2499436.998,-1134441.572
175,3990022.506,2045502.245,-3425813.796
176,9742098.65,-3551.027186,-9742098.003
177,3991570.429,-2052343.79,-3423524.421
178,2748596.753,-2505534.948,-1130079.082
179,1024865.046,-620830.0612,815425.2867
180,1042881.313,-335321.7159,987502.2936
181,1010176.777,-196706.4261,990839.8977
182,942358.5098,-110299.5815,935881.1695
183,854534.7996,-51428.25311,852985.8489
184,755736.3947,-10437.59594,755664.3136
185,652246.3848,17478.52564,652012.153
186,548983.125,35343.49622,547844.2378
187,449894.3762,45218.80177,447616.141
188,358025.9754,48776.45987,354687.829
189,275830.9067,47580.80661,271696.0727
190,204888.131,42832.1956,200361.0472
191,146052.6693,35918.76544,141567.0318
192,99462.73126,27814.69968,95494.38408
193,64631.6365,19375.36383,61659.0927
194,40735.29102,11437.97493,39096.5045
195,26615.70665,4489.104571,26234.40071
196,21410.01037,-1125.368426,21380.4137
197,23186.878,-5159.279073,22605.59999
198,29056.67408,-7636.536004,28035.22118
199,36832.09714,-8619.262379,35809.38
200,45094.46685,-8344.295428,44315.72717
201,52806.95225,-7116.846564,52325.18228
202,58886.42166,-5241.608671,58652.67423
203,62872.92098,-2976.282395,62802.43574
204,64295.37994,-732.678494,64291.20519
205,63271.21685,1323.346942,63257.37613
206,59877.81455,2951.484593,59805.02833
207,54628.2325,4097.858564,54474.31818
208,48058.11694,4640.915845,47833.50817
209,40800.06412,4711.043556,40527.16745
210,33396.31494,4274.5692,33121.623
211,26442.21516,3426.636089,26219.24689
212,20433.23356,2429.081102,20288.33652
213,15662.45503,1303.126596,15608.1504
214,12404.01853,241.965894,12401.65829
215,10662.6984,-678.010129,10641.12022
216,10362.82134,-1320.889957,10278.29343
217,11188.05581,-1743.069081,11051.43896
218,12845.43161,-1849.426434,12711.59845
219,14965.23301,-1691.774652,14869.30051
220,17249.70474,-1305.366719,17200.24219
221,19340.83916,-793.534142,19324.55337
222,21091.61383,-163.006642,21090.98392
223,22250.2656,363.197368,22247.30111
224,22740.46653,873.56606,22723.68149
225,22350.56757,1252.662059,22315.43655
226,21364.94159,1444.791359,21316.03404
227,19769.71868,1463.017974,19715.51052
228,17734.49406,1362.801308,17682.05453
229,15470.44112,1039.410451,15435.48426
230,13206.88777,629.707886,13191.86691
231,11092.35819,216.22736,11090.25049
232,9278.3049,-204.130703,9276.059103
233,7918.898528,-578.631984,7897.729985
234,7090.922289,-847.427468,7040.102669
235,6800.968755,-1000.159731,6727.024344
236,6876.208483,-989.14628,6804.691965
237,7318.474866,-887.515125,7264.460838
238,8025.642726,-645.188785,7999.66703
239,8874.305248,-367.087652,8866.709665
240,9818.654105,22.393821,9818.628568
241,10605.30745,334.023246,10600.04597
242,11230.29121,649.711787,11211.48141
243,11518.15932,888.577628,11483.83315
244,11577.61205,991.746371,11535.057
245,11270.17067,1020.468089,11223.87597
246,10732.42865,942.448915,10690.96884
247,9900.337161,725.421615,9873.724696
248,9000.006134,482.283812,8987.07476
249,7994.601283,203.16068,7992.019483
250,7058.124443,-164.208543,7056.214014
251,6274.516883,-527.85167,6252.274365
252,5551.830066,-726.306197,5504.116313
253,5116.898507,-845.219355,5046.608225
254,4865.94971,-946.747574,4772.95879
255,4881.255077,-897.386996,4798.056659
256,5024.802546,-771.520415,4965.218714
257,5318.968988,-544.501029,5291.025394
258,5698.567823,-298.659001,5690.736159
259,6076.957819,-58.92101,6076.672169
260,6463.732176,197.986908,6460.699252
261,6658.44759,448.720154,6643.31051
262,6829.749424,701.998228,6793.57606
263,6864.185166,850.472308,6811.294653
264,7968.883109,960.568882,7910.777802
265,6514.850903,955.974751,6444.33042
266,6140.10192,837.442595,6082.724841
267,5720.060611,622.789852,5686.055416
268,5270.905138,310.978569,5261.723416
269,4867.127422,53.801914,4866.830046
270,4410.396033,-291.147735,4400.775632
271,4034.803087,-570.561236,3994.257857
272,3826.056139,-710.562657,3759.495483
273,3678.731377,-862.544383,3576.182564
274,3604.18081,-814.785563,3510.875076
275,3680.311054,-713.052226,3610.574189
276,3751.159338,-509.795422,3716.356415
277,3980.356879,-219.062128,3974.324178
278,4233.21607,-17.342931,4233.180544
279,4466.740609,249.904283,4459.744333
280,4677.708625,505.144586,4650.35342
281,4829.070107,691.60774,4779.288319
282,4875.909014,827.844683,4805.118302
283,4807.09907,866.179587,4728.417747
284,4630.694882,850.655945,4551.891865
285,4408.4085,663.661158,4358.166974
286,4121.694505,519.949066,4088.767365
287,3756.862016,284.696644,3746.059267
288,3470.629546,9.720026,3470.615935
289,3198.31342,-224.77927,3190.404835
290,2980.972863,-481.542362,2941.821912
291,2871.037659,-615.692561,2804.243197
292,2774.627933,-699.625232,2684.973874
293,2780.247076,-760.020338,2674.349059
294,2800.062461,-689.646674,2713.80494
295,2884.595737,-567.926502,2828.135791
296,2970.855599,-400.879077,2943.684588
297,3117.504642,-189.464994,3111.741989
298,3263.222815,57.009851,3262.724784
299,3416.471082,295.061883,3403.705795
300,3500.548043,528.137174,3460.477962
301,3591.846729,641.075786,3534.173844
302,3589.379568,706.769213,3519.108262
303,3468.309797,757.078032,3384.67217
304,3270.195524,728.856111,3187.937818
305,3094.146064,561.245595,3042.818307
306,2864.492496,404.89992,2835.731531
307,2624.193576,164.783606,2619.014755
308,2404.387727,-54.696418,2403.765513
309,2286.569272,-236.786006,2274.276022
310,2168.885084,-440.332802,2123.715972
311,2156.000411,-590.546822,2073.545809
312,2144.085815,-617.928609,2053.111837
313,2199.608887,-665.959115,2096.372513
314,2241.039009,-596.594569,2160.169151
315,2305.231258,-488.624415,2252.850935
316,2413.945881,-307.198722,2394.319039
317,2530.15124,-113.579992,2527.600618
318,2598.163447,99.134543,2596.271488
319,2722.578292,326.67927,2702.908287
320,2789.409255,461.564836,2750.956542
321,2759.598423,598.139184,2693.995726
322,2718.450809,641.611875,2641.648917
323,2587.927357,651.013892,2504.705355
324,2434.477336,617.558639,2354.846328
325,2270.267587,453.417725,2224.528553
326,2101.083638,293.543283,2080.477059
327,1901.242059,110.294597,1898.040165
328,1755.817672,-124.768454,1751.379037
329,1673.625497,-241.174925,1656.157287
330,1661.379469,-435.889028,1603.178872
331,1638.010861,-495.484378,1561.273458
332,1731.870713,-592.406552,1627.399964
333,1799.54545,-565.962844,1708.230045
334,1836.769796,-507.949255,1765.137626
335,1926.89217,-405.563045,1883.728232
336,1972.410919,-256.079983,1955.716717
337,2048.974275,-95.729677,2046.736771
338,2122.310046,128.171963,2118.436187
339,2183.506493,292.290123,2163.854683
340,2216.815752,484.897035,2163.133594
341,2205.85166,529.551651,2141.344576
342,2152.673799,600.238414,2067.29735
343,2020.082202,547.565888,1944.454603
344,1841.847041,496.928851,1773.545105
345,1653.861424,394.773179,1606.054715
346,1513.118006,326.411266,1477.491721
347,1348.27692,175.921023,1336.750705
348,1304.240505,39.678379,1303.636806
349,1334.509601,-111.917485,1329.808389
350,1355.741681,-259.52141,1330.670562
351,1505.235314,-429.69986,1442.598829
352,1594.833912,-510.708206,1510.851527
353,1648.806415,-592.45012,1538.689523
354,1713.02698,-590.709364,1607.95643
355,1708.67505,-518.548142,1628.090369
356,1721.688058,-334.167217,1688.947021
357,1686.617474,-143.758295,1680.47971
358,1737.558054,43.736916,1737.007505
359,1747.354549,264.825634,1727.169738
360,1801.460272,362.278516,1764.656734
361,1762.469706,450.482596,1703.926317
362,1723.048645,483.35432,1653.863729
363,1616.322437,488.221886,1540.823679
364,1477.974223,392.249377,1424.973063
365,1313.213837,284.91529,1281.933641
366,1183.038011,215.142346,1163.311096
367,1056.079462,25.949621,1055.760601
368,1012.468108,-123.885042,1004.860272
369,986.3894245,-242.971709,955.996258
370,1034.02453,-368.806364,966.016871
371,1104.218915,-445.090541,1010.541351
372,1194.108275,-520.950625,1074.478952
373,1215.997772,-479.77275,1117.348956
374,1265.546037,-348.929217,1216.492981
375,1328.989157,-312.489543,1291.72848
376,1385.078494,-171.712758,1374.39338
377,1473.686646,-29.656651,1473.388209
378,1467.716895,108.343264,1463.712616
379,1529.858318,209.564034,1515.437029
380,1522.583954,335.354842,1485.193262
381,1444.933629,422.382535,1381.819882
382,1373.047691,439.804108,1300.704543
383,1295.123274,419.621955,1225.259854
384,1178.197424,378.00922,1115.911376
385,1029.790084,266.354071,994.74777
386,948.6440039,145.362616,937.440748
387,852.3023244,16.864509,852.135459
388,820.8683466,-147.14307,807.572758
389,775.9084699,-230.887543,740.759675
390,854.1776303,-340.128843,783.537998
391,920.3854102,-400.921495,828.475261
392,972.8937885,-448.015117,863.599895
393,1091.485892,-393.470344,1018.097511
394,1101.094167,-364.808532,1038.90476
395,1156.158931,-256.370264,1127.376495
396,1204.327418,-145.545824,1195.50029
397,1219.37561,-10.810266,1219.32769
398,1240.456405,122.894527,1234.353688
399,1266.720432,228.591755,1245.923939
400,1286.275905,344.921426,1239.167024
401,1192.0137,382.944608,1128.826864
402,1147.03032,383.024286,1081.1896
403,1054.085566,350.354655,994.156927
404,954.1729365,330.589426,895.07353
405,839.0501559,220.629564,809.523168
406,728.0384515,153.735709,711.621612
407,646.2730252,28.732693,645.633995
408,657.1697971,-144.428355,641.102638
409,659.5196153,-224.855415,620.004972
410,726.9678029,-300.579172,661.917176
411,806.0113918,-411.85493,692.841887
412,849.9738149,-368.360699,766.00645
413,905.9098017,-329.34799,843.920891
414,936.4904355,-299.144147,887.427245
415,1008.388492,-244.915828,978.194044
416,1061.58806,-95.39498,1057.293245
417,1080.269259,1.42717,1080.268316
418,1104.320239,117.436975,1098.058171
419,1096.076337,198.301082,1077.988876
420,1089.373933,246.887974,1061.028696
421,1053.964465,365.003793,988.743306
422,965.9826354,320.420856,911.2919
423,872.1859555,334.43725,805.518508
424,807.948869,302.498976,749.183385
425,680.8643,203.108307,649.863994
426,592.9773208,84.865784,586.872986
427,551.4096884,-48.130032,549.305147
428,475.6216659,-135.656971,455.865282
429,541.48023,-217.166996,496.023523
430,624.978959,-316.961582,538.640933
431,681.8117022,-345.192424,587.970567
432,711.1187837,-272.782967,656.718644
433,820.1839122,-293.663448,765.809003
434,904.7898223,-288.230838,857.652381
435,914.2019802,-223.677919,886.41607
436,938.2521365,-203.425751,915.933969
437,950.2431157,-85.70242,946.370474
438,869.5306912,34.747767,868.836127
439,833.0042207,142.802715,820.672539
440,1547.346681,256.748896,1525.897033
441,815.3593854,347.423555,737.636632
442,822.7657248,445.835539,691.501345
443,754.2669723,391.476717,644.720595
444,721.4983217,369.966059,619.423073
445,639.4717196,230.790563,596.372196
446,583.8598936,95.715147,575.960924
447,475.7610835,-40.893632,474.000337
448,470.2558258,-161.979114,441.478548
449,492.7799003,-231.36851,435.086937
450,506.7019978,-276.558003,424.573416
451,550.3226043,-256.860508,486.700779
452,635.510812,-277.78739,571.583903
453,692.9747902,-280.028729,633.875359
454,745.8419531,-227.273301,710.371076
455,771.826765,-183.560847,749.681246
456,815.8244517,-132.250455,805.033759
457,811.8176115,38.996582,810.880448
458,826.5744267,101.968838,820.260714
459,809.6264274,191.757482,786.590122
460,773.0070623,233.42664,736.920567
461,801.5539015,291.559112,746.647133
462,684.8153596,284.153637,623.080081
463,619.5958313,281.458787,551.978211
464,557.0218263,216.236483,513.337217
465,492.6524492,173.939344,460.924658
466,398.0653771,72.332462,391.438449
467,367.2350794,-3.98098,367.213501
468,367.0503595,-97.111897,353.970685
469,419.9563094,-186.460145,376.292328
470,444.8021525,-257.311594,362.821855
471,540.1528044,-261.604958,472.575812
472,607.7907333,-279.737455,539.589225
473,619.9523088,-264.258517,560.810397
474,611.5154314,-191.529156,580.74754
475,687.9714995,-86.730194,682.482716
476,707.1685514,-70.864788,703.608941
477,727.8589622,49.795545,726.153615
478,712.8274059,114.673861,703.543045
479,744.1445277,168.354777,724.850155
480,688.5623492,205.630453,657.140948
481,663.3968627,280.28061,601.280448
482,569.0778179,251.772307,510.353082
483,517.9129183,170.721792,488.966114
484,458.8961406,195.774826,415.039619
485,395.3580217,133.194951,372.245981
486,369.4360812,81.049049,360.435944
487,295.2028941,-28.62261,293.812006
488,387.2338307,-153.535338,355.495344
489,367.8048314,-208.027854,303.32294
490,402.8215971,-206.94008,345.602434
491,474.9214915,-263.78569,394.92725
492,518.7149979,-223.542475,468.074792
493,531.3606391,-239.414223,474.367957
494,559.0053136,-176.305047,530.47476
495,617.1886143,-86.900454,611.040176
496,616.0267193,-86.960867,609.857956
497,642.7588036,30.689396,642.025732
498,626.770056,117.651038,615.628895
499,636.5870326,133.352012,622.463084
500,593.7907361,211.644669,554.791828
501,573.2774336,237.743755,521.655943
502,535.0728099,266.318321,464.087776
503,472.9098345,201.632407,427.771065
504,388.2806788,148.751691,358.656967
505,329.1023766,142.84928,296.483486
506,269.4002525,4.508275,269.362528
507,282.1208405,-26.138141,280.907398
508,262.5164912,-73.403123,252.045412
509,310.2731522,-150.677032,271.230273
510,358.3673306,-196.758619,299.521601
511,396.125569,-218.794264,330.218922
512,440.7076429,-268.466278,349.498332
513,482.8702186,-244.670378,416.293231
514,473.5534111,-151.087602,448.804378
515,511.8635857,-113.520474,499.116652
516,568.2048662,-14.124898,568.029275
517,588.0272916,43.882804,586.387581
518,559.7411529,82.925775,553.564336
519,598.780668,139.367787,582.335735
520,519.713684,166.247961,492.406264
521,479.8589222,160.301751,452.291868
522,420.8763479,200.796905,369.888501
523,392.5701216,237.397064,312.656256
524,361.8221322,228.876502,280.233478
525,289.2130777,133.362498,256.629399
526,313.2047248,95.990026,298.132713
527,282.6716501,10.242848,282.48601
528,258.4109885,-117.026327,230.393311
529,317.1002282,-171.442815,266.75816
530,383.834091,-238.420305,300.806196
531,409.62427,-236.905403,334.167432
532,402.4172568,-216.423745,339.264515
533,367.9082069,-176.142059,323.002204
534,440.0715753,-108.00916,426.611079
535,449.1728835,-71.17994,443.49712
536,497.5369889,5.302352,497.508734
537,509.2013741,31.024135,508.255391
538,519.3280475,62.561273,515.546029
539,494.6091847,101.634301,484.054454
540,498.7199303,227.280512,443.920193
541,458.2428483,190.373828,416.826479
542,407.8979049,212.772689,348.006442
543,353.5251437,158.510357,315.997617
544,294.4976622,146.421121,255.518548
545,285.9087507,149.202353,243.890286
546,233.7561378,37.867065,230.668631
547,211.3099454,-78.642921,196.130528
548,219.3277628,-122.565769,181.885403
549,247.503661,-168.957746,180.862772
550,310.7600612,-210.971868,228.172493
551,340.7606296,-179.689734,289.533083
552,362.0597062,-143.036552,332.60754
553,382.7076995,-175.686891,339.99897
554,455.6041207,-165.828443,424.353676
555,433.648282,-83.639392,425.505916
556,476.2306074,-30.719175,475.238807
557,454.5563612,50.996997,451.686608
558,450.4124863,100.817492,438.984329
559,480.612744,118.785426,465.7023
560,422.407365,145.143093,396.68812
561,442.6947513,223.027823,382.409771
562,364.032307,179.017363,316.973665
563,294.2630444,134.434,261.759888
564,227.0464857,110.639098,198.265218
565,173.0189359,57.889341,163.04716
566,151.9911138,63.791885,137.956131
567,159.3584266,-6.471561,159.226967
568,139.2079541,-67.883485,121.534715
569,218.4827213,-119.870032,182.663283
570,265.4115754,-168.588696,204.990624
571,316.64797,-176.171337,263.115178
572,326.447451,-177.436557,274.014975
573,356.7132881,-128.236604,332.865954
574,348.9287062,-118.931129,328.034493
575,398.1434147,-98.279535,385.822902
576,425.5116226,-19.310934,425.073204
577,401.2898568,13.685157,401.056437
578,455.009597,95.816123,444.806704
579,423.4570713,152.940803,394.8734
580,380.3825623,167.51582,341.510386
581,394.2572158,179.531411,351.008867
582,323.2898454,189.002736,262.286656
583,298.8500982,146.654709,260.391585
584,243.2577955,175.451944,168.496203
585,173.1451836,82.098844,152.443545
586,157.7134936,7.269906,157.545849
587,156.3338452,-44.401704,149.89583
588,167.8757564,-90.990074,141.078262
589,196.6631964,-122.493479,153.856298
590,269.5108524,-148.680271,224.789405
591,267.3563561,-162.265065,212.484046
592,246.1253314,-147.187479,197.265113
593,364.2006061,-150.791411,331.51777
594,371.6147178,-104.903164,356.500806
595,356.1793428,-61.177449,350.886084
596,424.52677,-17.72199,424.156704
597,366.4335531,55.011584,362.280657
598,388.5566221,90.612199,377.843457
599,322.9125586,121.041766,299.368354
600,364.8282904,141.092914,336.440888
601,379.9367232,187.714883,330.325652
602,323.5189743,171.588556,274.266101
603,302.1076532,130.528188,272.454448
604,194.4231124,78.082758,178.054569
605,138.2251915,11.986775,137.704469
606,109.779159,26.581706,106.512331
607,77.96653578,-31.666876,71.24598
608,112.8805241,-59.405896,95.984125
609,111.3719604,-82.555442,74.755017
610,213.5106803,-163.310231,137.537555
611,258.4818982,-155.559007,206.432282
612,302.0389321,-167.479311,251.352734
613,350.4393838,-183.283301,298.68879
614,338.9995162,-152.5199,302.751304
615,338.5014661,-111.616485,319.570028
616,862.1437243,19.2145,861.929582
617,316.5298182,52.647686,312.120725
618,330.559825,95.723991,316.396453
619,399.9491443,162.042943,365.652024
620,357.5575737,153.519842,322.92271
621,304.2192797,157.710895,260.14735
622,250.404327,116.52328,221.640818
623,239.2843069,115.333631,209.654795
624,139.6329323,95.84432,101.544188
625,125.1957201,31.639344,121.13183
626,127.1936998,22.010748,125.274755
627,73.91452228,-8.814635,73.387048
628,109.199768,-57.519338,92.823031
629,151.1008874,-95.726478,116.909878
630,204.8240658,-107.10482,174.589391
631,254.4574809,-151.909424,204.137543
632,230.2128141,-160.250834,165.280398
633,235.3238037,-103.737934,211.224368
634,265.0446034,-42.080017,261.68285
635,296.5269692,-25.673584,295.413457
636,264.4310186,-4.439911,264.393742
637,350.4596571,61.707507,344.984282
638,325.6985828,96.184306,311.172213
639,318.4369643,102.361969,301.536279
640,287.9178262,88.171662,274.084718
641,270.889455,146.903526,227.597124
642,220.7939541,131.345157,177.477942
643,198.822948,111.348145,164.718412
644,133.4238229,102.77026,85.089307
645,123.2984802,38.984561,116.973156
646,144.1196923,31.376722,140.662671
647,82.18426002,-27.290198,77.52095
648,116.0451988,-78.390821,85.564989
649,160.8628247,-111.698995,115.759159
650,199.02406,-113.992109,163.145259
651,212.3534149,-147.230726,153.026423
652,258.3233484,-130.065778,223.190156
653,262.3239866,-104.700604,240.523715
654,288.4893328,-105.161441,268.639473
655,292.1079849,-8.323443,291.989375
656,246.8835371,-19.332122,246.125476
657,258.6746063,34.139011,256.411934
658,289.8420376,55.840906,284.412025
659,307.7426604,128.467317,279.645657
660,293.9453428,119.958266,268.354018
661,252.4452665,132.198534,215.063154
662,261.0487534,166.428161,201.117177
663,193.7677451,124.721851,148.291601
664,118.6581817,92.151351,74.752208
665,110.4483737,35.807448,104.482869
666,95.95755507,40.043262,87.203151
667,93.72855623,-24.945542,90.348006
668,140.3370476,-43.467746,133.435535
669,156.529058,-113.039687,108.274536
670,182.7317535,-142.64011,114.213365
671,187.9157653,-106.750473,154.650158
672,238.3775554,-142.645621,190.987135
673,249.1686745,-132.412095,211.073602
674,245.3917581,-35.19245,242.855114
675,247.5084454,-41.47357,244.008962
676,254.1048875,-22.82896,253.077325
677,253.4220155,26.282841,252.055411
678,281.4079399,60.149114,274.904552
679,274.0963241,91.263539,258.456498
680,253.1590121,113.001552,226.539477
681,196.7929422,127.066999,150.271221
682,204.97613,137.542487,151.977887
683,177.9192418,115.481985,135.34832
684,101.9627422,92.529499,42.833312
685,137.8361123,59.850041,124.164272
686,96.1821353,-1.68754,96.16733
687,68.53661956,8.675973,67.985261
688,111.6724999,-88.368351,68.277242
689,141.6074275,-108.68452,90.776311
690,122.4564834,-98.133359,73.249124
691,191.385025,-113.548894,154.061275
692,186.7673697,-76.566312,170.351549
693,214.3000515,-80.933791,198.429417
694,248.9024522,-20.217463,248.079997
695,272.0866462,-63.7324,264.517153
696,233.2758288,-16.489864,232.692279
697,253.3543509,66.939679,244.351195
698,261.4979091,66.947026,252.783014
699,227.7451919,115.158052,196.485357
700,245.1282497,137.318591,203.055321
701,266.0727189,164.786467,208.902159
702,200.5257613,109.096187,168.251606
703,178.9137309,101.091125,147.616759
704,142.2115539,57.249967,130.178982
705,181.1220517,48.642706,174.468005
706,110.4508725,-28.762135,106.640212
707,139.8456214,-86.897545,109.570135
708,84.27684332,-62.420244,56.624195
709,134.7316654,-101.056534,89.107792
710,135.7612977,-103.393116,87.982916
711,170.3290971,-113.238546,127.236131
712,229.0551236,-117.78339,196.451833
713,252.6106953,-150.397478,202.960001
714,224.6255477,-62.16473,215.852225
715,226.4943896,-52.174488,220.403111
716,192.6368337,-33.425103,189.714818
717,230.9012154,0.894177,230.899484
718,207.158183,61.940321,197.681333
719,220.1288269,63.923326,210.643084
720,207.2305299,88.437669,187.412036
721,201.0946206,96.394981,176.48528
722,155.1734614,97.393215,120.803
723,127.1687334,76.802541,101.357074
724,107.5171234,67.075595,84.028545
